keys,en,ru
BIOLOGY_PHD,PhD in biology,канд. биол. наук
PHYSICS_PHD,PhD in physics,канд. физ.-мат. наук
MATH_PHD,PhD in math,канд. физ.-мат. наук
LING_SOC_PHD,PhD in linguistics,канд. филол. наук
PHILOSOPHY_PHD,PhD in phiposophy,канд. филос. наук
BIOLOGY_DR,Dr. of biology,д-р биол. наук
PHYSICS_DR,Dr. of  physics,д-р физ.-мат. наук
MATH_DR,Dr. of  math,д-р физ.-мат. наук
LING_SOC_DR,Dr. of  linguistics,д-р филол. наук
PHILOSOPHY_DR,Dr. of  phiposophy,д-р филос. наук
BIOLOGY_ASP,postgrad biology,аспирант-биолог
PHYSICS_ASP,postgrad physics,аспирант-физик
MATH_ASP,postgrad math,аспирант-математик
LING_SOC_ASP,postgrad linguistics,аспирант-филолог
PHILOSOPHY_ASP,postgrad phiposophy,аспирант-философ
BIOLOGY_FACULTY_,Xenobiology,Ксенобиологии
PHYSICS_FACULTY_,Physics,Физики
MATH_FACULTY_,Math,Математики
LING_SOC_FACULTY_,Xenolinguistics,Ксенолингвистики
PHILOSOPHY_FACULTY_,Phiposophy,Философии
G_NAME1,Lamar Guzman,Антон Савельев
G_NAME2,Jordan Pope,Захар Гребнев
G_NAME3,Kate Dodd,Лиза Субботина
G_NAME4,Akram Aguirre,Танабай Адырбаевич
G_NAME5,Justine Fox,Ирина Дементьева
G_NAME6,Boyd Mcculloch,Геннадий Васильчук
G_NAME7,Tiana Charles,Зинаида Самошина
G_NAME8,Kiah Burch,Майя Волкова
G_NAME9,Enzo Brown,Феликс Рубанов
G_NAME10,Elena Benton,"Эммануил Карапетян "
G_NAME11,Huey Greenaway,Семён Татаринцев
G_NAME12,Judah Foreman,Емельян Покровский
G_NAME13,Komal Bishop,Михаил Воликов
G_NAME14,Clement Reese,Ярослав Копцев
G_NAME15,Nancy Blaese,Марина Капанадзе
G_NAME16,Francis Plant,Венедикт Абабков
G_NAME17,Gillian Whitney,"Гали Бройда "
G_NAME18,Farah Emery,Наталия Пугачёва
G_NAME19,Indiana Enriquez,Марианна Шуленкова
G_NAME20,Amos Everett,Владимир Нотович
MICROSCOPE_,Microscope,Микроскоп
PRINTER_,Printer,Принтер
BIO_GOAL_,Xenobiology system,Система ксенобиологии
ENGINEER_GOAL_,Warp-drive,Изучить прыжковый двигатель
COMMUNICATION_GOAL_,Cultural exchange,Культурный обмен
UNDERSTANDING_GOAL_,Deeper understanding,Проникнуть в их сознание
GRANT_BIO_START,Fundamentals of silicon life,Основы кремниевой жизни
GRANT_MATH_START,Xeno math notation,Инопланетная математическая нотация
GRANT_PHYS_START,Basics of quantum gravity,Основы квантовой гравитации
GRANT_PHILOSOPHY_START,Xenological argument for existence of God,Ксенологическое доказательство бытия Бога
GRANT_LING_START,Mood-sensitive grammar,Настроение-зависимая грамматика
GRANT_BIO2,Silicon DNA,Кремниевая ДНК
GRANT_PHYS2,Quantum tri-logic,Тернарная квантовая логика
GRANT_PHYS3,Quantum gravity,Квантовая гравитация
GRANT_PHYS4,Stable energy fields,Стабильные поля энергии
GRANT_PHYS5,Convolution of n-dimensional spaces,Свертка n-мерных пространств
GRANT_PHYS6,Warp field generator,Генератор варп-поля
GRANT_BIO3,Alien cytology,Инопланетная цитология
GRANT_BIO4,Signal transfer in xenoanatomy,Сигнальные системы ксеноанатомии
GRANT_BIO5,Stability of silicon ecosystems,Устойчивость кремниевых экосистем
GRANT_BIO6,Silicon metabolism,Кремниевый метаболизм
GRANT_MATH2,Glossary of Theorem Mapping,Глоссарий сопоставления теорем
GRANT_MATH3,Alien approach to category theory,Инопланетный подход к теории категорий
GRANT_MATH4,Math model of alien language,Мат. модель языка пришельцев
GRANT_MATH5,Topology of space-time,Топология пространства-времени
GRANT_MATH6,Interplanetary math congress,Подготовка межпланетного математического съезда
GRANT_PHIL2,Space crime and cosmic punishment,Космическое преступление и вселенское наказание
GRANT_PHIL3,Capital: A Critique of Alien Economy,Капитал. Критика инопланетной экономии
GRANT_PHIL4,Summa xenologica,Сумма ксенологий
GRANT_PHIL5,The Universe as xeno- will and representation?,Космос как ксено- воля и представление?
GRANT_PHIL6,Critique of xeno reason,Критика инопланетного разума
GRANT_LING2,Contextual alien grammar,Контекстуальная ксенограмматика
GRANT_LING3,Quantitative analysis of recorded speech,Численный анализ записей речи
GRANT_LING4,Device for producing alien sounds,Устройство для произношения инопланетных звуков
GRANT_LING5,Universal dictionary,Всеобщий словарь
GRANT_LING6,Real-time translation systems,Системы автоматического перевода
OPTIMIZATION_,Spending optimization,Оптимизация расходов
LIBRARY_CATALOG,Library catalog,Библиотечная система
PROJECTOR_,Good projector,Хороший проектор
DNA_SEQUENCER,DNA sequencer,Секвенатор ДНК
MICROSCOPE_,Laser microscopes,Лазерные микроскопы
STUDENT_COWORKING,Coworking for students,Коворкинг для студентов
MISC_EQUIPMENT,Miscellaneous equipment,Всякая всячина
COMPUTING_CLUSTER,Computing cluster,Вычислительный кластер
QUANTUM_STUFF,Quantum stuff,Квантовые штуки
BIOLOGY_ACAD,Academic,Академик
PHYSICS_ACAD,Academic,Академик
MATH_ACAD,Academic,Академик
LING_SOC_ACAD,Academic,Академик
PHILOSOPHY_ACAD,Academic,Академик
